q_id,question,crop,question_type,llm,answer,time_s,tokens,rouge1,rouge2,rougeL,bleu1,bleu2,bleu4,meteor,relevance,completeness,practicality,heuristic_avg,combined_score
9,What is the recommended sowing time for wheat in rabi season?,wheat,factual,Cerebras — GPT-OSS 120B,"**Recommended sowing time for wheat (Rabi season)**  

- **Ideal window:** 15 October to the first week of November (≈ 10 – 15 Nov).  
- **Why this window:** - Sowing in the first fortnight of November gives the best yield potential.  
  - For long‑duration (135‑140 days) varieties, sowing can be started a little earlier (≈ 10 – 30 Oct) to avoid high temperatures at maturity.  
  - Short‑duration (120‑125 days) varieties may be sown up to 15 December, but yields drop sharply after 15 Dec.  

**Practical tip:**  
- Aim to complete sowing by the first week of November to capture the optimum cold‑dry climate needed for wheat development.  

*(All information taken from the provided sources.)*",0.95,341,0.5424,0.2743,0.3842,0.3137,0.2179,0.1127,0.4249,1.0,1.0,1.0,1.0,0.683
9,What is the recommended sowing time for wheat in rabi season?,wheat,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the recommended sowing time for wheat in the rabi season is:

- **Optimum Time:** First fortnight of November.
- **Long Duration Varieties:** Can be sown from the fourth week of October to avoid high temperatures near maturity.
- **Short Duration Varieties:** Can be sown up to December 15th.
- **Warning:** Sowing later than December 15th results in a drastic reduction in yield.",1.42,96,0.7879,0.6154,0.7424,0.5914,0.5071,0.3836,0.7127,1.0,0.7,1.0,0.9,0.7783
10,How to control aphids in wheat crop?,wheat,howto,Groq — LLaMA 3.1 8B,"To control aphids in the wheat crop, you can follow these steps:

1. **Timing:** Spray the insecticide in the evening when the armyworm larvae are more active. This will also help control aphids.
2. **Insecticide:** Use 7 kg Mortel/Regent 0.3 G (fipronil) or 1 litre Dursban 20 EC (chlorpyriphos) mixed with 20 kg of moist sand in one acre before the first irrigation.
3. **Alternative Method:** Alternatively, you can use neem-based biopesticide to control insect-pests, including aphids.
4. **Natural Predators:** Encourage the natural predators (Coccinella septumpunctata) by maintaining a healthy ecosystem. They become active on the appearance of aphids and can help control the infestation.

Remember to follow the recommended dosages and timings for the insecticides, and use protective gear when spraying.",0.81,199,0.6535,0.53,0.6337,0.4634,0.4164,0.3512,0.7801,1.0,1.0,1.0,1.0,0.8023
10,How to control aphids in wheat crop?,wheat,howto,Cohere — Command-R,"To control aphids in your wheat crop, you can employ a combination of natural predators and neem-based biopesticides. Here's a practical step-by-step guide:

1. Monitor your wheat crop regularly for the presence of aphids. Look for the tiny, soft-bodied insects on the leaves and stems.

2. Encourage natural predators:
   - The predator mentioned in the context, Coccinella septumpunctata (a type of ladybird beetle), is a natural enemy of aphids. These beetles and their larvae feed on aphids, helping to control their population.
   - Create a habitat that attracts these beneficial insects by providing flowering plants or herbs near your wheat field. This will encourage their presence and activity.

3. Timing is crucial:
   - Aphids are more active during the cooler parts of the day, so consider implementing control measures in the early morning or late afternoon/evening.

4. Mechanical weeding:
   - As mentioned in the context, mechanical weeding with a tractor or power weeder can be effective. Perform this operation at 25 and 45 days after sowing to manage weeds and reduce potential hiding places for aphids.

5. Hand weeding:
   - For any weeds or escaped aphids that mechanical weeding may have missed, hand weeding is essential. Remove these manually to prevent their spread.

6. Neem-based biopesticides:
   - If the aphid population is high and natural predators are not sufficient, consider using neem-based biopesticides. These are environmentally friendly and can effectively control aphids without harming beneficial insects.
   - Follow the instructions on the biopesticide product for the correct application rate and timing.

7. Regular monitoring and follow-up:
   - Continue to monitor your wheat crop regularly for any signs of aphid infestation. If the population persists or increases, repeat the above steps as necessary.
   -",29.36,400.0,0.2228,0.0784,0.1226,0.1344,0.0846,0.0244,0.2605,1.0,1.0,1.0,1.0,0.5788
10,How to control aphids in wheat crop?,wheat,howto,Cerebras — GPT-OSS 120B,"**Crop:** Wheat (Rabi‑season)

**Target pest:** Aphids (major aphid species on wheat)

---

### 1. Cultural & Biological control (first line of defence)

| Step | What to do | Timing / Frequency |
|------|------------|--------------------|
| **a. Scout the field** | Walk the crop and look for aphid colonies on the lower leaves and leaf‑sheaths. | Start 10 days after emergence and repeat every 5‑7 days. |
| **b. Encourage natural predators** | Lady‑beetles (*Coccinella septempunctata*) attack aphids as soon as they appear. | No special timing – they will arrive automatically when aphids are present. |
| **c. Habitat management** | Keep a small strip of flowering plants (e.g., coriander, marigold) at field edges to provide nectar for lady‑beetles. | Do before",1.26,400,0.2732,0.0221,0.1202,0.1755,0.0433,0.0093,0.2042,1.0,1.0,0.5,0.8333,0.4925
10,How to control aphids in wheat crop?,wheat,howto,Sarvam AI — Sarvam-105B,"Based on the provided context, here is the advice for controlling aphids in a wheat crop:

*   **Crop name:** Wheat
*   **Disease/pest:** Aphids
*   **Treatment:**
    1.  Rely on natural predators (Coccinella septempunctata).
    2.  If needed, use a neem-based biopesticide.
*   **Timing:** When aphids appear.
*   **Quantities:** The context does not provide specific quantities for the neem-based biopesticide.",0.93,115,0.2595,0.093,0.1679,0.2308,0.124,0.0445,0.1886,1.0,0.7,0.5,0.7333,0.4492
11,What is the sowing time for maize in kharif season?,maize,factual,Groq — LLaMA 3.1 8B,"According to the provided context, the sowing time for maize in the kharif season is June.",0.33,22,0.2821,0.0526,0.1795,0.0449,0.0222,0.0069,0.1438,1.0,0.3,0.75,0.6833,0.4182
11,What is the sowing time for maize in kharif season?,maize,factual,Cohere — Command-R,"The sowing time for maize in the kharif season is between mid-June and the second week of June. This timing ensures the crop is ready for harvesting within 50-60 days, which is ideal for this particular season. 

For the control of maize shoot fly, it is recommended to treat the seed with 6 ml of Gaucho 600 FS (imidacloprid) per kg of seed before sowing. This treatment should be done to ensure a healthy crop. 

Additionally, to control grain smut, treat the seed with sulphur dust at a rate of 4 g per kg of seed before sowing. 

As for irrigation, the recommended time for kharif maize is 40 minutes in June, 35 minutes in July and August, and 50 minutes in September. 

By following these practical steps and adhering to the recommended timings, farmers can ensure a successful maize crop during the kharif season.",41.14,200.0,0.3254,0.1063,0.2297,0.2531,0.1635,0.0569,0.3417,1.0,1.0,1.0,1.0,0.6192
11,What is the sowing time for maize in kharif season?,maize,factual,Cerebras — GPT-OSS 120B,"**Sowing time for maize in the Kharif season**

- **When to sow:** Mid‑June (approximately the 2nd week of June).  
  - This timing is recommended in the cropping‑system guidelines that specify “sow maize in mid‑June” for Kharif production.  

**Practical steps for a successful Kharif maize crop**

| Step | Details |
|------|---------|
| **1. Land preparation** | Plough the field to a fine tilth; level the seedbed. |
| **2. Seed rate** | Use **10 kg seed per acre**. |
| **3. Seed treatment** | Treat seeds with **6",0.87,400,0.3597,0.073,0.2302,0.1752,0.0803,0.0205,0.2632,1.0,1.0,1.0,1.0,0.6092
11,What is the sowing time for maize in kharif season?,maize,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the sowing time for maize in the kharif season is not explicitly mentioned. The context provides sowing times for maize in the rabi season (20 January to 15 February) and mentions sowing maize in mid-June for a specific cropping system, but it does not specify the general sowing time for maize in the kharif season.

I don't have enough information on this topic.",1.02,88,0.3788,0.0462,0.2576,0.3816,0.1235,0.0333,0.2588,1.0,0.7,0.75,0.8167,0.5244
12,How to control fall armyworm in maize?,maize,howto,Groq — LLaMA 3.1 8B,"To control fall armyworm in maize, follow these steps:

1. **Monitor the crop regularly**: Keep a close eye on your maize crop for signs of fall armyworm infestation.
2. **Use recommended insecticides**: Apply insecticides within 2-3 weeks of sowing to control maize borer.
3. **Use Trichogramma cards**: Control maize borer using Trichogramma cards on 10 and 17 days old crop.
4. **Ensure proper drainage**: Prevent water stagnation in the field to control bacterial diseases.
5. **Biopesticide application**: Apply 1 biopesticide per kg soil in plant whorls (about half gram) for management of fall armyworm in maize.
6. **Destroy egg masses**: Regularly monitor the field to collect and destroy egg masses of fall armyworm.

Additionally, consider the following:

- Sow maize at the recommended time only.
- Avoid staggered sowing of maize in adjacent fields.
- Prefer mixed cropping of fodder maize with cowpea/ bajra/ sorghum.
- Use recommended seed rate (30 kg per acre) and follow line sowing method rather than broadcasting.",0.83,240,0.5089,0.3694,0.4464,0.2824,0.2458,0.1858,0.5934,1.0,1.0,1.0,1.0,0.7168
12,How to control fall armyworm in maize?,maize,howto,Cohere — Command-R,"To control fall armyworm in maize, farmers should implement the following strategies:

- Regularly monitor the crop for fall armyworm attacks. This involves inspecting the crop at least once a week, especially during the early stages of growth. Look for signs of infestation, such as damaged leaves, larvae, or egg masses.

- Use recommended insecticides for maize borer control. Apply insecticides within 2-3 weeks of sowing to target the early stages of the borer's life cycle. Follow the instructions and dosage guidelines provided for effective control.

- Employ biological control methods:
   - Introduce Trichogramma cards on 10 and 17-day-old maize crops. These cards contain parasitic wasps that can parasitize and control fall armyworm eggs.
   - Use biopesticides like Clasto 20WG (pyrefluquinazon) for managing fall armyworm. Apply 0.5 grams of biopesticide per kg of soil in the plant whorls.

- Maintain proper drainage and avoid water stagnation in the fields. Fall armyworm thrives in moist conditions, so ensuring good drainage helps prevent their population growth.

- Practice timely sowing:
   - Sow maize at the recommended time, which is typically from mid-April to mid-August.
   - Avoid staggered sowing in adjacent fields to minimize the spread of fall armyworm. Planting maize at the same time reduces the risk of infestation.

- Destroy egg masses: Regularly inspect the field and collect and destroy any egg masses of fall armyworm. This helps prevent the larvae from hatching and reduces the overall population.

- Consider mixed cropping:
   - Sow maize with cowpea, bajra, or sorghum to create a diverse crop system. Mixed cropping can disrupt the fall armyworm's life cycle and reduce their impact.
   - When sowing maize with cowpea, use a seed rate of 15 kg maize per",81.93,400.0,0.3615,0.2581,0.3149,0.1994,0.1598,0.1046,0.472,1.0,1.0,1.0,1.0,0.6566
12,How to control fall armyworm in maize?,maize,howto,Cerebras — GPT-OSS 120B,"**Crop:** Maize (fodder or grain)  

**Objective:** Reduce incidence of Fall Armyworm (Spodoptera frugiperda) and protect yield.

---

### 1. Sowing‑time & Method  
| Action | Details |
|--------|---------|
| **Planting window** | Mid‑",0.84,400,0.1556,0.0455,0.1111,0.0982,0.0529,0.0223,0.0756,1.0,0.3,0.25,0.5167,0.3039
12,How to control fall armyworm in maize?,maize,howto,Sarvam AI — Sarvam-105B,"To control fall armyworm in maize:

- **Crop Name:** Maize
- **Disease/Pest:** Fall armyworm
- **Treatment:**
    - Use recommended insecticides for control of maize borer within 2-3 weeks of sowing.
    - Control maize borer using Trichogramma cards on 10 and 17 days old crop.
    - Apply a biopesticide at a rate of 1 gram per kg soil in plant whorls (about half gram).
- **Timing:**
    - Monitor the crop regularly for attacks.
    - Apply insecticides within 2-3 weeks of sowing.
    - Use Trichogramma cards on 10 and 17-day-old crops.
    - Ensure proper drainage and avoid water stagnation.
- **Quantities:**
    - Trichogramma cards: Use as recommended.
    - Biopesticide: 1 gram per kg soil in plant whorls (about half gram).",1.64,209,0.4828,0.2674,0.3448,0.2767,0.2007,0.1381,0.4312,1.0,1.0,1.0,1.0,0.6746
13,What are the symptoms of downy mildew in maize?,maize,diagnostic,Groq — LLaMA 3.1 8B,"Based on the provided context, the symptoms of downy mildew in maize are not explicitly mentioned. However, it is mentioned that a foliar spray of Mancozeb 75% WP @ 1.5 to 2 kg/l is recommended at the very first appearance of symptoms of downy mildews.

To provide a more specific answer, I would recommend consulting other sources or conducting further research on the topic.",0.63,86,0.4857,0.3333,0.4,0.4222,0.3089,0.2196,0.3643,1.0,0.7,1.0,0.9,0.6337
13,What are the symptoms of downy mildew in maize?,maize,diagnostic,Cohere — Command-R,"I don't have enough information on this topic to provide a comprehensive answer. However, based on the context provided, here is some advice regarding downy mildew in maize:

Downy mildew in maize is caused by the pathogen Peronosclerospora sorghi. It is important to be vigilant and look out for the following symptoms:

- Initial symptoms include the appearance of water-soaked lesions on the leaves, which may turn yellow or brown over time.
- As the disease progresses, the lesions can coalesce, leading to extensive leaf blight.
- Infected plants may exhibit stunted growth, reduced vigor, and a ""crazy top"" appearance, where the growing point becomes distorted and produces abnormal growth.

To manage downy mildew, farmers are advised to follow an integrated pest management package:

1. Sow resistant hybrid maize varieties such as TNAU maize hybrid CO-6 and COH (M) 8.
2. Regularly inspect the crop for any signs of downy mildew infection and rogue out (remove) infected plants to prevent further spread.
3. At the first appearance of symptoms, apply a foliar spray of Mancozeb 75% WP at a rate of 1.5 to 2 kg per liter of water.
4. If needed, follow up with three additional sprays of fungicide at 15-day intervals.
5. As a preventive measure, treat seeds with metalaxyl-M 31.8% ES at a rate of 2.4 ml per kg of seed before sowing.

By implementing these practices, farmers can effectively manage downy mildew and minimize its impact on maize crops.",36.31,349.0,0.3406,0.2056,0.2415,0.2294,0.165,0.0903,0.4112,1.0,1.0,1.0,1.0,0.6354
13,What are the symptoms of downy mildew in maize?,maize,diagnostic,Cerebras — GPT-OSS 120B,I don't have enough information on this topic.,0.57,148,0.0,0.0,0.0,0.0001,0.0,0.0,0.0065,0.5,0.3,0.25,0.35,0.1758
13,What are the symptoms of downy mildew in maize?,maize,diagnostic,Sarvam AI — Sarvam-105B,I don't have enough information on this topic.,0.43,13,0.0,0.0,0.0,0.0001,0.0,0.0,0.0065,0.5,0.3,0.25,0.35,0.1758
14,What is the spacing recommended for maize cultivation?,maize,factual,Groq — LLaMA 3.1 8B,"Based on the provided context, the row to row spacing for maize cultivation is recommended to be:

1. 60 cm (Source: pp_kharif.pdf, Page 38)
2. 67.5 cm (Source: pp_kharif.pdf, Page 39)
3. 60 cm (Source: pp_kharif.pdf, Page 147)

The plant to plant spacing for maize cultivation is recommended to be:

1. 20 cm (Source: pp_kharif.pdf, Page 38)
2. 18 cm (Source: pp_kharif.pdf, Page 39)
3. 25 cm (Source: AGRICULTURE.pdf, Page 119)

It is also recommended to leave a rogue spacing of 75 cm for every 10 rows of maize for easy spraying during cob formation stage and to minimize FAW damage during cob formation and cob maturity stages (Source: HORTICULTURE.pdf, Page 131).",0.57,198,0.3246,0.1164,0.2094,0.2067,0.0833,0.02,0.2306,1.0,1.0,0.5,0.8333,0.5148
14,What is the spacing recommended for maize cultivation?,maize,factual,Cohere — Command-R,"The recommended spacing for maize cultivation varies depending on the source and the specific context. Here are some practical guidelines based on the information provided:

1. For maize sowing using a four-row pneumatic planter, the row-to-row spacing should be 60 cm, and the plant-to-plant spacing should be 20 cm. The seed rate for this method is 9-10 kg per acre, and the seeds should be planted at a depth of 55-56 mm.

2. To avoid the adverse effects of excess rainfall, an alternative method suggests sowing maize seeds 3-5 cm deep on the top center of beds with a row-to-row spacing of 67.5 cm and a plant-to-plant spacing of 18 cm. Another option is to sow seeds 6-7 cm above the base on the sides of ridges spaced 60 cm apart, with the same plant-to-plant spacing.

3. When using drip irrigation, the emitter spacing should be 30 cm, and the drip laterals should be installed at a depth of 20 cm with a lateral-to-lateral spacing of 60 cm. This setup can serve one row of kharif maize, two rows of peas, and one row of spring maize.

4. For varieties and hybrids, a spacing of 25 cm between plants in rows that are 60 cm apart is recommended. The population density should be 6-7 plants per square meter. For baby corn, a higher density of 8-9 plants per square meter is suggested.

5. To facilitate easy spraying and minimize Fall Armyworm (FAW) damage during cob formation and maturity stages, a rogue spacing of 75 cm is recommended for every 10 rows of maize.

It's important to consider the specific context and requirements of your maize cultivation, such as the availability of",84.26,400.0,0.3207,0.1803,0.1902,0.1845,0.1384,0.0691,0.4282,1.0,1.0,1.0,1.0,0.626
14,What is the spacing recommended for maize cultivation?,maize,factual,Cerebras — GPT-OSS 120B,"**Recommended Spacing for Maize (based on the provided sources)**  

| Planting method / Variety | Row‑to‑Row (",0.82,400,0.2222,0.0759,0.1481,0.035,0.016,0.0053,0.0493,1.0,0.3,0.0,0.4333,0.2697
14,What is the spacing recommended for maize cultivation?,maize,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the recommended spacing for maize cultivation varies depending on the method:

- **For general cultivation:** A spacing of 25 cm between plants in rows that are 60 cm apart is recommended.
- **For bed/ridge sowing:** Row to row spacing should be 67.5 cm with plant to plant spacing of 18 cm, or sowing should be done 6-7 cm above the base on the side of ridges spaced 60 cm apart.
- **For baby corn:** A spacing of 8-9 plants per square meter is recommended.
- **For pest management:** A rogue spacing of 75 cm should be left for every 10 rows of maize to facilitate spraying and minimize FAW damage.",1.15,161,0.4309,0.1341,0.2652,0.2394,0.1166,0.0319,0.2866,1.0,1.0,0.75,0.9167,0.5851
15,What is the seed rate for blackgram per hectare?,blackgram,factual,Groq — LLaMA 3.1 8B,"The recommended seed rate for blackgram per hectare is 25 kg/ha in stem fly endemic areas, as mentioned in the context. However, for general cultivation, the seed rate is 20 kg/ha.",0.49,45,0.5319,0.3696,0.4468,0.328,0.2661,0.1918,0.3603,1.0,0.3,1.0,0.7667,0.5747
15,What is the seed rate for blackgram per hectare?,blackgram,factual,Cohere — Command-R,"The seed rate for blackgram per hectare is 25 kg/ha, as per the given context. This advice is specifically for areas endemic to stem flies.",7.89,34.0,0.4138,0.2118,0.3678,0.1944,0.1363,0.0515,0.2593,1.0,0.3,1.0,0.7667,0.5199
15,What is the seed rate for blackgram per hectare?,blackgram,factual,Cerebras — GPT-OSS 120B,"**Seed rate for blackgram (Urad) – per hectare**

| Situation | Recommended seed rate |
|-----------|-----------------------|
| **Normal (general) conditions** | **20 kg ha⁻¹** |
| **Stem‑fly endemic areas** (to overcome",0.54,400,0.3571,0.2439,0.2857,0.1571,0.1169,0.0548,0.1254,1.0,0.3,1.0,0.7667,0.4862
15,What is the seed rate for blackgram per hectare?,blackgram,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the seed rate for blackgram is 25 kg/ha in stem fly endemic areas. In other areas, the seed rate is 20 kg/ha.

For the Rabi season, a seed rate of 20 kg/ha is also mentioned.

The context also states that the seed rate should be increased to 25 kg/ha in stem fly endemic areas.",0.9,87,0.5806,0.3443,0.4839,0.5758,0.4514,0.3138,0.4895,1.0,0.7,0.75,0.8167,0.6419
16,What are the symptoms of yellow mosaic virus in blackgram?,blackgram,diagnostic,Groq — LLaMA 3.1 8B,I don't have enough information on this topic. The provided context does not mention the symptoms of yellow mosaic virus in blackgram.,0.55,27,0.198,0.1212,0.1584,0.0343,0.0267,0.0171,0.0874,1.0,0.3,0.5,0.6,0.3576
16,What are the symptoms of yellow mosaic virus in blackgram?,blackgram,diagnostic,Cohere — Command-R,"I don't have enough information on this topic to provide a comprehensive answer. However, based on the context provided, here is some advice for farmers regarding blackgram cultivation:

- Blackgram, also known as Vigna mungo, is a crop suitable for tropical and subtropical regions with a hot and humid growing season. It is typically grown during the kharif/rainy and summer seasons.

- For stem fly endemic areas, it is recommended to increase the seed rate to 25 kg/ha when sowing blackgram between September and November.

- To manage pests, consider the following:
   - Remove alternate hosts that may attract pests.
   - Use pheromone traps at a rate of 12/ha to control Gram pod borer.
   - Spray insecticides such as methyl demeton, dimethoate, or monocrotophos at 500 ml/ha to reduce sucking insects.
   - Spray Neem seed kernel extract (25 kg/ha) as a natural pesticide against pod borers.

- To improve crop yield, consider the following practices:
   - Apply potassium chloride (KCl) spray along with other recommended treatments.
   - Economize the use of micronutrients by treating seeds with biofertilizers and micronutrients like zinc (Zn), molybdenum (Mo), and cobalt (Co) at specific rates (4, 1, and 0.5 g/kg of seed, respectively).

- For weed management, apply herbicides such as PE Pendimethalin 30% EC + Imazethapyr 2% EC (Valor 32% EC; Readymix herbicide) at a rate of 1.0 kg a.i. ha-1 at 3 DAS (days after sowing).

- Blackgram varieties such as CO2, 3, 4, 6, KM1, V",101.14,400.0,0.1438,0.0189,0.0875,0.1167,0.0395,0.0073,0.1784,1.0,1.0,1.0,1.0,0.5522
16,What are the symptoms of yellow mosaic virus in blackgram?,blackgram,diagnostic,Cerebras — GPT-OSS 120B,I don't have enough information on this topic.,0.87,94,0.023,0.0,0.023,0.0001,0.0,0.0,0.0121,0.5,0.3,0.25,0.35,0.1822
16,What are the symptoms of yellow mosaic virus in blackgram?,blackgram,diagnostic,Sarvam AI — Sarvam-105B,I don't have enough information on this topic.,0.72,13,0.023,0.0,0.023,0.0001,0.0,0.0,0.0121,0.5,0.3,0.25,0.35,0.1822
17,How to manage yellow mosaic virus in blackgram?,blackgram,howto,Groq — LLaMA 3.1 8B,"I don't have enough information on this topic in the given context. However, based on general knowledge, yellow mosaic virus (YMV) is a major constraint in blackgram cultivation. 

To manage YMV in blackgram, the following steps can be taken:

1. **Use of resistant varieties**: Grow blackgram varieties that are resistant to YMV, such as CO2, 3, 4, 6 KM1, VBN 1 & 2, Paiyur 2 C 152.
2. **Crop rotation**: Rotate blackgram with other non-host crops to break the disease cycle.
3. **Sanitation**: Remove and destroy infected plants to prevent the spread of the disease.
4. **Use of insecticides**: Spray insecticides like methyl demeton or dimethoate or monocrotophos @ 500ml/ha to control the vector of the disease, which is often a whitefly or aphid.
5. **Use of neem products**: Spray Neem seed kernel extract (25 kg/ha) to control the vector and the disease.
6. **Use of biofertilizers**: Apply biofertilizers like Azotobacter, Azospirillum, and Pseudomonas to improve the plant's resistance to the disease.
7. **Use of micronutrients**: Apply micronutrients like Zn, Mo & Co @ 4, 1, 0.5 g/kg of seed to improve the plant's resistance to the disease.

Please note that these are general recommendations and may not be specific to the given context. For more specific advice, consult a local agricultural expert or a university extension service.",0.84,341,0.2083,0.0629,0.1458,0.1322,0.0735,0.0224,0.2393,1.0,1.0,1.0,1.0,0.577
17,How to manage yellow mosaic virus in blackgram?,blackgram,howto,Cohere — Command-R,"To manage the yellow mosaic virus in blackgram, farmers can follow these practical steps:

- Sow blackgram seeds from September to November with an increased seed rate of 25 kg/ha in areas prone to stem fly infestations. This helps establish a strong crop and reduces the impact of the virus.

- Remove alternate host plants that may harbor the virus or attract pests. By eliminating these hosts, farmers can disrupt the virus's life cycle and reduce its spread.

- Utilize pheromone traps at a rate of 12 traps per hectare to monitor and control the Gram pod borer population. These traps help attract and capture the adult moths, reducing their ability to lay eggs and infest the crop.

- Spray insecticides such as methyl demeton, dimethoate, or monocrotophos at a rate of 500 ml/ha to target sucking insects. These insecticides will help control pests like aphids and leafhoppers, which can transmit the yellow mosaic virus.

- Apply Neem seed kernel extract (25 kg/ha) as a natural and organic method to control pod borers. Neem extract has pesticidal properties and can deter and reduce the population of these pests.

- For seed treatment, coat blackgram seeds with biofertilizers and micronutrients like zinc (Zn), molybdenum (Mo), and cobalt (Co) at rates of 4 g, 1 g, and 0.5 g per kg of seed, respectively. This practice enhances nutrient availability and strengthens the plants' resistance to viruses and pests.

- At 15 and 30 days after sowing, apply a herbicide combination of PE Pendimethalin 30% EC and Imazethapyr 2% EC (Valor 32% EC) at a rate of 1.0 kg active ingredient per hectare. This application helps control weeds",43.82,400.0,0.1471,0.0355,0.1176,0.1167,0.0544,0.0136,0.2057,1.0,1.0,1.0,1.0,0.5605
17,How to manage yellow mosaic virus in blackgram?,blackgram,howto,Cerebras — GPT-OSS 120B,I don't have enough information on this topic.,0.86,71,0.0,0.0,0.0,0.0001,0.0001,0.0,0.007,0.5,0.3,0.25,0.35,0.1759
17,How to manage yellow mosaic virus in blackgram?,blackgram,howto,Sarvam AI — Sarvam-105B,I don't have enough information on this topic.,0.46,13,0.0,0.0,0.0,0.0001,0.0001,0.0,0.007,0.5,0.3,0.25,0.35,0.1759
18,What is the recommended variety of greengram for kharif season?,greengram,factual,Groq — LLaMA 3.1 8B,"Based on the given context, the recommended varieties of greengram for the kharif season are:

1. T9 - 65-70d
2. CO 4 - 70d
3. CO 5 - 70-75d
4. KM 2 - 60-65d
5. VBN 1 – 60-65
6. ADT 3 – 70-75d
7. ADT 5 – 65 d

These varieties are specifically mentioned for the kharif season in the context provided.",0.44,119,0.5778,0.2556,0.4593,0.3691,0.263,0.1536,0.342,1.0,0.7,0.25,0.65,0.5166
18,What is the recommended variety of greengram for kharif season?,greengram,factual,Cohere — Command-R,"Based on the provided context, the recommended varieties of greengram for the kharif season in Tamil Nadu (TN) are:

- T9: 65-70 days
- CO 4: 70 days
- CO 5: 70-75 days
- KM 2: 60-65 days
- VBN 1: 60-65 days
- ADT 3: 70-75 days
- ADT 5: 65 days

These varieties are suitable for the warm weather conditions and irrigation requirements of the kharif season. The seed rate for greengram is typically 20-25 kg/ha.

It is important to note that proper soil preparation, plant spacing, and fertilizer management are crucial for optimal greengram cultivation. Following the recommended practices, such as using well-decomposed farmyard manure (FYM) and maintaining balanced fertilizer application, can help reduce termite attacks and promote healthy crop growth.",23.74,212.0,0.4824,0.3147,0.392,0.3448,0.2295,0.1022,0.4331,1.0,1.0,1.0,1.0,0.6762
18,What is the recommended variety of greengram for kharif season?,greengram,factual,Cerebras — GPT-OSS 120B,"**Recommended greengram (green gram) varieties for the Kharif season**

| Variety | Maturity (days) | Remarks (from the source) |
|---------|----------------|---------------------------|
| **T9**   | 65‑70 days | Short‑day / day‑neutral type |
| **CO 4** | 70 days     | – |
| **CO 5** | 70‑75 days  | – |
| **KM 2** | 60‑65 days  | – |
| **VBN 1**| 60‑65 days  | – |
| **ADT 3**| 70‑75 days  | – |
| **ADT 5**| 65 days     | – |

**Key agronomic points (from the same context)**  

1. **Seed rate:** 20 – 25 kg / ha.  
2. **Soil & seed‑bed preparation:** Same as for greengram (i.e., well‑prepared",0.98,400,0.5844,0.3289,0.5065,0.19,0.1025,0.0271,0.2844,1.0,1.0,1.0,1.0,0.6753
18,What is the recommended variety of greengram for kharif season?,greengram,factual,Sarvam AI — Sarvam-105B,I don't have enough information on this topic.,0.42,13,0.0241,0.0,0.0241,0.0001,0.0,0.0,0.0196,0.5,0.3,0.25,0.35,0.1835
19,How to control leaf spot disease in greengram?,greengram,howto,Groq — LLaMA 3.1 8B,"Based on the provided context, the leaf spot disease in greengram is caused by Cercospora cruenta and C. canescens. The disease spots are circular, brown, and necrotic which coalesce to cover a bigger area.

To control leaf spot disease in greengram, I recommend the following steps:

1. **Rogue out the diseased plants early in the season** to prevent the spread of the disease.
2. **Use resistant varieties**: Grow yellow mosaic virus tolerant varieties of moong, but since the question is about leaf spot disease, I assume you are looking for resistant varieties to leaf spot. Unfortunately, the provided context does not mention specific resistant varieties for leaf spot disease in greengram.
3. **Apply fungicides**: Although not mentioned in the provided context, fungicides can be used to control leaf spot disease. However, I would recommend consulting with a local agricultural expert or the relevant government agricultural department for guidance on the best fungicides to use and their application timing.
4. **Maintain good agricultural practices**: Ensure good crop rotation, soil health, and irrigation practices to reduce the incidence of leaf spot disease.

I don't have enough information on this topic to provide specific quantities, timing, and steps for controlling leaf spot disease in greengram.",0.74,264,0.3443,0.214,0.2271,0.2088,0.1589,0.1117,0.4204,1.0,1.0,1.0,1.0,0.638
