question,crop,llm,answer,time_s,tokens,relevance,completeness,practicality,avg_score
What are symptoms of yellowing in maize?,maize,Cerebras — LLaMA 3.1 8B,"I don't have enough information on this topic in the given context. However, I can suggest that yellowing in maize can be a symptom of several diseases, including yellow rust, which is mentioned in the context as a disease that can be controlled by spraying Ampect Xtra 25.5 SC.

If you are experiencing yellowing in your maize crop, I would recommend inspecting the crop for any signs of disease or pests, and then taking action based on the specific issue you identify. If you are unsure, it may be helpful to consult with a local agricultural expert or conduct further research on the specific symptoms you are observing.

In terms of practical advice, if you suspect yellow rust, you can follow the instructions in the context for controlling the disease by spraying Ampect Xtra 25.5 SC as soon as the disease is noticed.",0.43,171,1.0,1.0,0.3333333333333333,0.778
How to control leaf curl virus in chilli?,chilli,Groq — LLaMA 3.1 8B,"Based on the provided context, it seems that the leaf curl virus in chilli is caused by the Tomato Mosaic Virus (TMV). To control this disease, I recommend the following steps:

**Crop Name:** Chilli
**Quantity:** Not specified, but it's essential to use the recommended quantities of the chemicals mentioned below.
**Timing:** Early removal of affected plants and use of healthy pathogen-free chilli seeds.
**Steps:**

1. **Use healthy pathogen-free chilli seeds:** This is the key control measure to manage the disease. Use certified disease-free seeds to reduce the risk of TMV infection.
2. **Early removal of affected plants:** Remove and destroy any affected plants to prevent the spread of the disease.
3. **Transplants should be kept clean:** Keep the transplants clean by removing any infected leaves or debris.
4. **Chemical control (if necessary):** If the disease is severe, you can use captan 75% WP at a rate of 800 g in 400 l of water per acre. However, this should be used as a last resort and only after consulting with a local agricultural expert.

**Additional Tips:**

* Practice good agricultural practices, such as crop rotation and sanitation, to reduce the risk of disease spread.
* Monitor your plants regularly for any signs of disease and take action promptly if you notice any symptoms.
* Consider using biological control methods, such as introducing natural predators of the virus, to manage the disease.

I hope this helps you control the leaf curl virus in your chilli crop!",0.95,319,1.0,1.0,0.3333333333333333,0.778
How to control leaf curl virus in chilli?,chilli,Sambanova — LLaMA 3.1,"The provided context does not specifically mention ""leaf curl virus"" but describes symptoms similar to leaf curl, such as downward curling of leaves, which can be caused by various factors including Chilli mite (Polyphagotarsonemus latus) and possibly TMV (tobacco mosaic virus). However, for management and control of diseases and pests causing such symptoms, the following general measures are suggested:

1. **Use healthy pathogen-free chilli seed** to prevent the spread of diseases.
2. **Early removal of affected plants** to control the spread of diseases.
3. **Production of pathogen-free planting materials** is key to managing diseases.
4. **Spray captan 75% WP @ 800 g in 400 l of water/acre** for chemical control, though this is specifically mentioned for die back and fruit rot, it indicates the use of fungicides for disease control.
5. **Refer to specific management pages** mentioned in the context for detailed control measures against chilli mite and other pests that might cause similar symptoms.

Since the question specifically asks about ""leaf curl virus"" and the context does not directly address this, it's essential to consult the referenced pages for management or consider the above general disease and pest management strategies.",2.23,259,1.0,1.0,0.6666666666666666,0.889
How to control leaf curl virus in chilli?,chilli,Cohere — Command-R,"To control the leaf curl virus in chilli, farmers can follow these practical steps:

1. Chemical Control: Spray captan 75% WP at a rate of 800 grams per 400 liters of water per acre. This will help manage the disease and reduce the impact of the virus.

2. Cultural Control:
   - Use healthy, pathogen-free chilli seeds for planting. This is crucial to prevent the introduction and spread of the virus.
   - Regularly inspect and remove any affected plants showing symptoms of the leaf curl virus. Early removal helps control the disease's spread.
   - Maintain clean and healthy transplants by following good agricultural practices.

3. Integrated Pest Management:
   - Encourage natural predators of pests like aphids and chilli mites, which can transmit the virus. Predators can help keep pest populations in check.
   - Monitor the crop regularly for any signs of infestation or disease symptoms. Early detection allows for prompt action.

4. Timing:
   - Start implementing these control measures as soon as the first signs of the leaf curl virus are observed. Prompt action is essential to prevent further spread and minimize yield losses.
   - Continue regular monitoring and follow-up treatments as needed throughout the growing season.

5. Crop Management:
   - Ensure proper irrigation and nutrient management to maintain plant health and vigor. Healthy plants are better equipped to resist diseases.
   - Practice crop rotation and avoid planting chillies in the same field consecutively to reduce the buildup of pathogens.

By combining these strategies, farmers can effectively manage the leaf curl virus in chilli and minimize its impact on their crop. It is important to act promptly and consistently to control the disease and protect the yield.",16.12,345.0,1.0,1.0,1.0,1.0
How to control leaf curl virus in chilli?,chilli,Sarvam AI — Sarvam-M,"<think>
Okay, let's tackle this question about controlling leaf curl virus in chilli. First, I need to check the provided context to see what information is available.

Looking at the context, there are mentions of diseases and pests affecting chilli. The user is asking about leaf curl virus, which I need to connect to the symptoms described. 

In the context, under Chilli.pdf Page 67, there's a mention of mosaic symptoms, chlorosis, downward curling, and distorted fruit. The disease is linked to TMV (Tobacco Mosaic Virus), which is seed-borne. The survival and spread part says it's primarily spread through externally seed-borne virus particles. So, the virus is likely the one causing the leaf curl here.

Now, for management. The context on Page 34 talks about chemical control using captan 75% WP at 800g per acre in 400 liters of water. But that's under ""Die back and fruit rot,"" which might be a different disease. Wait, the user is asking about leaf curl virus. Let me check if there's specific management for TMV. 

Page 34's cultural controls mention using pathogen-free seeds, early removal of affected plants, and clean transplants. Since TMV is seed-borne, using healthy seeds and removing infected plants would be key. There's no direct mention of a specific treatment for TMV in the context, but the cultural practices are highlighted. The chemical control mentioned (captan) is for another disease, so maybe not applicable here. 

The answer should focus on cultural controls as per the context. So, the steps would be: use healthy seeds, remove infected plants early, and maintain clean transplants. Quantities aren't specified for these measures, but the timing would be during planting and early growth stages to prevent spread.
</think>

To control **leaf curl virus** (likely **Tobacco Mosaic Virus",2.93,400,1.0,1.0,0.6666666666666666,0.889
How to control leaf curl virus in chilli?,chilli,Cerebras — LLaMA 3.1 8B,"Based on the provided context, it seems that the leaf curl virus in chilli is related to the TMV (Tobacco Mosaic Virus) and the symptoms are similar to those caused by chilli mite infestation. However, since the context doesn't explicitly mention the leaf curl virus, I will provide advice on how to control the symptoms and diseases mentioned, which might be related to the leaf curl virus.

**Control Measures:**

1. **Production of pathogen-free planting materials**: Use healthy, pathogen-free chilli seeds for planting.
2. **Early removal of affected plants**: Remove infected plants to control the spread of the disease.
3. **Transplant care**: Keep transplants clean by removing any infected leaves or debris.
4. **Cultural control**: Practice good agricultural practices, such as maintaining a healthy crop rotation, removing weeds, and avoiding overwatering.

**Chemical Control (if necessary):**

1. **Captan 75% WP**: Spray captan at a rate of 800 g in 400 l of water per acre, as a last resort.

**Integrated Pest Management (IPM) Strategies:**

1. **Monitor for pests and diseases**: Regularly inspect your chilli crop for signs of pests or diseases.
2. **Use natural predators**: Encourage natural predators, such as ladybugs or lacewings, to control chilli mite populations.
3. **Maintain a balanced ecosystem**: Promote a balanced ecosystem by maintaining a diverse range of crops and using organic amendments.

**Crop Management:**

1. **Crop rotation**: Rotate your chilli crop with other crops to break the disease cycle.
2. **Soil preparation**: Prepare your soil with organic amendments to promote healthy plant growth.
3. **Irrigation management**: Avoid overwatering, which can exacerbate disease symptoms.

**Specific Advice for Chilli Mite Infestation:**

1. **Spray neem oil**: Spray neem",0.53,400,1.0,1.0,1.0,1.0
What is the sowing time for soyabean?,soyabean,Groq — LLaMA 3.1 8B,"For rainfed Soyabean in North Western Zone, the optimum time of sowing is the middle of July. However, for Soyabean in general, it can be sown in the first fortnight of June. 

To be more specific, considering the two options:

- For rainfed Soyabean in North Western Zone: Sow in the middle of July.
- For Soyabean in general: Sow in the first fortnight of June.

So, the recommended sowing time is the first fortnight of June for general Soyabean cultivation.",0.46,116,1.0,1.0,1.0,1.0
What is the sowing time for soyabean?,soyabean,Sambanova — LLaMA 3.1,"The sowing time for soyabean is in the first fortnight of June, or in the middle of July for rainfed soyabean in the North Western Zone.",1.36,35,1.0,0.3,1.0,0.767
What is the sowing time for soyabean?,soyabean,Cohere — Command-R,"The sowing time for soyabean depends on the region and whether it is a rainfed or irrigated crop. 

For the North Western Zone, the optimum time for rainfed soyabean sowing is the middle of July. 

In other regions, the crop should be sown in the first fortnight of June, with a seed rate of 25-30 kg per acre. It is recommended to give the field two ploughings followed by planking to ensure good tilth and germination. Soybean can also be sown with a zero-till drill without preparatory tillage. 

The seeds should be dibbled at a depth of 2-3 cm, with a spacing of 30 x 5 cm. In the Erode district, a cropping system of Soybean + Castor with a spacing of 60 cm apart has been found to give high net returns. 

Irrigation is crucial for the crop. It should be irrigated immediately after sowing, with a life irrigation on the 3rd day. Further irrigation should be provided at intervals of 7-10 days during the summer and 10-15 days during the winter season. 

For weed management, Pendimethalin at a rate of 1.0 litre per hectare can be applied after sowing, followed by one hand weeding on the 30th day after sowing. If herbicide spray is not used, two hand weedings on the 20th and 35th days after sowing are recommended. 

Seed treatment with fungicides and biofertilizers is also advised. Treat the seeds with Carbendezim or Thiram @ 2g/kg of seed 24 hours before sowing, or with talc formulation of Trichoderma viride @ 4 g/kg seed or Pseudomonas fluorescens @ 10 g/kg seed.",7.76,396.0,1.0,1.0,1.0,1.0
What is the sowing time for soyabean?,soyabean,Sarvam AI — Sarvam-M,"<think>
Okay, let's tackle this question about the sowing time for soybeans. The user is asking for the optimal time to sow soybeans based on the provided context.

First, I need to go through the context given. The sources mentioned are AGRICULTURE.pdf and pp_kharif.pdf. Let me check each relevant page.

Looking at AGRICULTURE.pdf, Page 187 says the middle of July is the optimum time for rainfed soybeans in the North Western Zone. Then, pp_kharif.pdf, Page 78 mentions sowing in the first fortnight of June. There's also a note about pre-sowing irrigation (Rauni) before the monsoon sets in and avoiding heavy rains after sowing.

Wait, there's a conflict here. One source says mid-July, another says first fortnight of June. Also, the context mentions different sowing methods like zero tillage and spacing. The user is asking for the sowing time, so I need to reconcile these sources.

The AGRICULTURE.pdf is specific to the North Western Zone and mentions rainfed conditions. The pp_kharif.pdf seems more general, suggesting the first fortnight of June. The Rauni irrigation is mentioned there, which is a pre-monsoon irrigation. However, the user's question doesn't specify the region, but the answer should be based on the context provided.

Since the context includes both sources, I should present both time frames but note the conditions. The answer should mention both the first fortnight of June (from pp_kharif) and mid-July for rainfed in North Western Zone (from AGRICULTURE). Also, the Rauni irrigation is recommended to avoid heavy rains post-sowing. The seed rate is 25-30 kg per acre as per pp_kharif.

I need to structure the answer with crop name, sowing time, and any",2.92,400,0.5,1.0,1.0,0.833
What is the sowing time for soyabean?,soyabean,Cerebras — LLaMA 3.1 8B,"The optimum time of sowing for rainfed Soyabean in North Western Zone is the middle of July. However, for other regions, the recommended sowing time is in the first fortnight of June.",0.55,43,1.0,0.3,1.0,0.767
How much water does sugarcane need?,sugarcane,Groq — LLaMA 3.1 8B,"Based on the provided context, sugarcane requires a specific amount of water for optimal growth. 

For drip irrigation, the recommended discharge is 2.2 litres per hour. The irrigation schedule varies depending on the month:

- April-June: 120 minutes (every third day)
- July-August: 100 minutes (every third day)
- September-October: 80 minutes (every third day)
- November-December: 60 minutes (every third day)

To calculate the total water requirement, we need to multiply the discharge rate (2.2 litres per hour) by the total irrigation time (in hours).

For example, in April-June, the total irrigation time is 120 minutes or 2 hours. 

Water requirement per acre = 2.2 litres/hour * 2 hours = 4.4 litres/acre

Since the drip irrigation is given every third day, we need to multiply this by 3 to get the total water requirement per week.

Water requirement per acre per week = 4.4 litres/acre * 3 = 13.2 litres/acre per week

To get the total water requirement per acre per month, we can multiply this by the number of weeks in the month.

For example, in April (30 days), there are approximately 4 weeks.

Water requirement per acre per month = 13.2 litres/acre/week * 4 weeks = 52.8 litres/acre per month

However, this is a simplified calculation and actual water requirement may vary depending on several factors such as soil type, climate, and crop growth stage.",0.74,331,1.0,1.0,1.0,1.0
How much water does sugarcane need?,sugarcane,Sambanova — LLaMA 3.1,"According to the context, the water requirement for sugarcane is as follows:

* Drip irrigation with dripper discharge of 2.2 litres per hour, given every third day.
* The duration of irrigation varies by month:
	+ April-June: 120 minutes
	+ July-August: 100 minutes
	+ September-October: 80 minutes
	+ November-December: 60 minutes

Additionally, during the hot and dry period (April to June), sugarcane should be irrigated at 7 to 12 days interval, and during the rainy season, the frequency of irrigation should be adjusted according to rainfall.",1.95,133,1.0,1.0,1.0,1.0
How much water does sugarcane need?,sugarcane,Cohere — Command-R,"To ensure optimal growth and yield of sugarcane, here is a practical guide for Indian farmers:

- **Water Requirements:**
   - During the hot and dry months of April to June, which is a critical period for sugarcane growth, irrigate the crop at an interval of 7 to 12 days.
   - For the remaining months, adjust the irrigation frequency based on rainfall.
   - Drip irrigation is recommended, with a lateral pipe placed 20 cm deep and 150 cm apart, having dripper spacing of 30 cm.
   - The dripper discharge should be 2.2 litres per hour.
   - The irrigation schedule can be as follows:
     - April to June: 120 minutes of irrigation
     - July to August: 100 minutes of irrigation
     - September to October: 80 minutes of irrigation
     - November to December: 60 minutes of irrigation

- **Foliar Spray:**
   - To enhance cane growth, weight, internodal length, and sugar content, as well as provide drought tolerance, a foliar spray of TNAU Sugarcane Booster is recommended.
   - Apply the booster at 1.0, 1.5, and 2 kg per acre in 200 litres of water at 45, 60, and 75 days after planting.

- **Climate Considerations:**
   - Sugarcane is a tropical crop and thrives in warm temperatures.
   - Ensure the region has an optimum temperature range of 32 to 35 degrees Celsius and an altitude of 1000 to 3000 meters above sea level.
   - Adequate sunlight and day length are crucial for proper tillering and growth.

- **Irrigation Management:**
   - Monitor the soil moisture levels regularly to avoid over- or under-watering.
   - Consider using moisture sensors or observing plant stress indicators to adjust irrigation",7.31,400.0,1.0,1.0,1.0,1.0
How much water does sugarcane need?,sugarcane,Sarvam AI — Sarvam-M,"<think>
Okay, let's tackle the user's question about how much water sugarcane needs. First, I need to look through the provided context to find relevant information.

Looking at the sources, the pp_rabi.pdf and pp_kharif.pdf both mention drip irrigation schedules. The pp_rabi.pdf (Page 49) says sugarcane should be drip irrigated every third day with a lateral pipe, dripper spacing, and discharge rate of 2.2 liters per hour. The pp_kharif.pdf (Page 87) also mentions similar drip irrigation details, specifying the time of irrigation in minutes for different months. For example, April-June requires 120 minutes, which translates to 2 hours. Since the discharge is 2.2 liters per hour, that would be 2.2 * 2 = 4.4 liters per irrigation session. But since irrigation is every third day, over a month (assuming 30 days), that's 10 irrigations (30/3), totaling 44 liters per acre per month. However, the user might be asking about total water needs, not just irrigation. The context also mentions that during the hot and dry period (April-June), irrigation should be every 7-12 days, which might mean more water is needed then. But the drip irrigation specifics are the main data points here. The answer should focus on the drip irrigation schedule and calculate the water requirement based on that. The answer should mention the drip irrigation method, frequency, and the calculated water per acre per month. Also, note that during peak months, the irrigation time increases, so water usage would be higher. The answer should be practical, using the given data without assuming beyond the context.
</think>

For sugarcane irrigation under drip systems (as per context from pp_rabi.pdf and pp_khar",2.89,400,1.0,1.0,1.0,1.0
How much water does sugarcane need?,sugarcane,Cerebras — LLaMA 3.1 8B,"Based on the given context, sugarcane requires the following amount of water:

- Under drip irrigation, the lateral pipe should be placed 20 cm deep and 150 cm apart with dripper spacing 30 cm.
- Drip irrigation with a dripper discharge of 2.2 litres per hour should be given as per the following schedule:
  - April-June: 120 minutes (every third day)
  - July-August: 100 minutes (every third day)
  - September-October: 80 minutes (every third day)
  - November-December: 60 minutes (every third day)

However, the total amount of water required per day is not explicitly mentioned in the given context. To calculate the total amount of water required per day, we need to multiply the dripper discharge (2.2 litres per hour) by the duration of irrigation (in hours).

For example, in April-June, the irrigation duration is 120 minutes or 2 hours. So, the total amount of water required per day would be:
2.2 litres/hour x 2 hours = 4.4 litres per day

Similarly, we can calculate the total amount of water required per day for other months:
- July-August: 2.2 litres/hour x 1.67 hours (100 minutes / 60 minutes) = 3.67 litres per day
- September-October: 2.2 litres/hour x 1.33 hours (80 minutes / 60 minutes) = 2.93 litres per day
- November-December: 2.2 litres/hour x 1 hour (60 minutes / 60 minutes) = 2.2 litres per day

However, please note that this is an estimate and the actual amount of water required may vary depending on several factors such as soil type, climate, and crop growth stage.",0.69,388,1.0,1.0,1.0,1.0
What diseases affect tomato plants?,tomato,Groq — LLaMA 3.1 8B,"Based on the provided context, the following diseases affect tomato plants:

1. **Early Blight**: Caused by bacterial cells transmitted through rain splash, favorable conditions include soil temperature of around 28 °C, high humidity or persistent dew, and moist weather with intermittent showers.
2. **Damping Off**: Occurs in two stages: pre-emergence and post-emergence phase, where seedlings are killed just before they reach the soil surface, and the young radical and plumule are killed with complete rotting of the seedlings.
3. **Tomato Mosaic Disease**: Caused by Tomato Mosaic Virus, spread by contact with clothes, hand of working labor, touching of infected plants with healthy ones, plant debris, and implements.
4. **Bacterial Fruits and Leaf Spots**: Caused by Xanthomonas campestris pv. vesicatoria, prevalent in Andhra Pradesh, Tamil Nadu, Karnataka, and other states.
5. **Tomato Spotted Wilt Disease**: Caused by Peanut bud Necrosis Virus (PbNV) TSWV group, symptoms include stunting, and prevalent in Himachal Pradesh, Andhra Pradesh, Karnataka, Tamil Nadu.

Please refer to the respective pages mentioned in the context for management advice on these diseases.",0.48,265,1.0,1.0,0.3333333333333333,0.778
What diseases affect tomato plants?,tomato,Sambanova — LLaMA 3.1,"Based on the provided context, the following diseases affect tomato plants:

1. Damping Off
2. Tomato Mosaic Disease
3. Bacterial fruits and leaf spots (caused by Xanthomonas campestris pv. vesicatoria)
4. Tomato spotted wilt disease (caused by Peanut bud Necrosis Virus or TSWV group)
5. Early blight 

Note that there may be other diseases mentioned in the full document, but these are the ones mentioned in the provided context.",1.72,103,1.0,0.7,0.0,0.567
What diseases affect tomato plants?,tomato,Cohere — Command-R,"Tomato plants can be affected by various diseases, and it is important for farmers to be aware of these to ensure proper management and control. Here are some of the common diseases that affect tomato plants, along with practical advice:

1. Damping Off:
   - Description: Damping off is a fungal disease that affects tomato seedlings. It occurs in two stages, pre-emergence and post-emergence.
   - Symptoms: In the pre-emergence phase, seedlings are killed before reaching the soil surface. The young radical and plumule are killed, and seedlings rot completely.
   - Management: To manage damping off, farmers should ensure proper seedling care. Maintain good hygiene in the nursery, use sterilized soil or seed-starting mixes, and provide adequate ventilation. Avoid overwatering and ensure proper drainage.

2. Early Blight:
   - Description: Early blight is a common fungal disease that affects tomato foliage.
   - Symptoms: It occurs at any growth stage and causes brown to black spots with concentric rings on leaves. The spots may enlarge and cause leaf yellowing and defoliation.
   - Management: To control early blight, farmers should practice crop rotation, remove and destroy infected plant debris, and use resistant tomato varieties if available. Fungicidal treatments may be necessary in severe cases.

3. Tomato Mosaic Disease:
   - Description: Tomato Mosaic Disease is caused by the Tomato Mosaic Virus (ToMV).
   - Symptoms: Infected plants show mosaic patterns on leaves, stunted growth, and distorted fruits.
   - Management: To manage this disease, farmers should practice strict hygiene and avoid contact with infected plants. Use virus-free seeds, and remove and destroy any infected plants promptly.

4. Bacterial Fruit and Leaf Spots:
   - Description: Bacterial fruit and leaf spots are caused by *Xanthomonas campestris pv. vesicatoria*.
   - Symptoms: This disease causes water-soaked lesions on leaves and fruits",12.17,400.0,1.0,1.0,0.3333333333333333,0.778
What diseases affect tomato plants?,tomato,Sarvam AI — Sarvam-M,"<think>
Okay, let's tackle this question. The user is asking about diseases that affect tomato plants. I need to go through the provided context to find the relevant information.

Looking at the sources, Page 10 mentions Tomato Mosaic Virus, Bacterial fruits and leaf spots caused by Xanthomonas campestris pv. vesicatoria, and Tomato spotted wilt disease caused by Peanut bud Necrosis Virus (PbNV) which is part of the TSWV group. These are all diseases affecting tomatoes. 

Page 63 talks about Early blight, which is a common disease on foliage. Page 60 mentions Damping Off in two stages. Page 67 discusses Tomato spotted wilt disease again, noting symptoms like stunting. 

So compiling these, the diseases listed are Tomato Mosaic Disease, Bacterial Blight (from Xanthomonas), Tomato Spotted Wilt Disease, Early Blight, and Damping Off. Each of these has their own symptoms and management references. The answer should list these diseases with their respective causes and symptoms as per the context provided.
</think>

**Diseases Affecting Tomato Plants (Based on Context):**  

1. **Tomato Mosaic Disease**  
   - **Causative Agent**: Tomato Mosaic Virus (TMV).  
   - **Symptoms**: Not explicitly detailed in the context, but typically includes mottled leaf patches, stunted growth, and distorted leaves.  

2. **Bacterial Blight (Bacterial Fruits and Leaf Spots)**  
   - **Causative Agent**: *Xanthomonas campestris* pv. *vesicatoria*.  
   - **Symptoms**: Leaf spots, fruit lesions, and blight.  
   - **Affected Regions**: Andhra Pradesh, Tamil Nadu, Karnataka, and other states.  

3.",2.93,400,1.0,1.0,0.0,0.667
What diseases affect tomato plants?,tomato,Cerebras — LLaMA 3.1 8B,"Based on the given context, the following diseases affect tomato plants:

1. **Early Blight**: Caused by bacterial cells transmitted through rain splash, favourable conditions include soil temperature of around 28 °C, high humidity or persistent dew, and moist weather with intermittent showers.
2. **Damping Off**: A disease that occurs in two stages, pre-emergence and post-emergence, where seedlings are killed, and there is complete rotting of the seedlings.
3. **Tomato Mosaic Disease**: Caused by Tomato Mosaic Virus, spread by contact with clothes, hand of working labour, touching of infected plants with healthy ones, plant debris, and implements.
4. **Bacterial Fruits and Leaf Spots**: Caused by Xanthomonas campestris pv. vesicatoria, prevalent in Andhra Pradesh, Tamil Nadu, Karnataka, and other states.
5. **Tomato Spotted Wilt Disease**: Caused by Peanut bud Necrosis Virus (PbNV) TSWV group, symptoms include stunting, and prevalent in Himachal Pradesh, Andhra Pradesh, Karnataka, Tamil Nadu, and other states.

To manage these diseases, refer to the respective page numbers mentioned in the context for detailed management strategies.",0.5,259,1.0,1.0,0.3333333333333333,0.778
